Class,Total_Populations,High_Risk_Populations,Median_Log_Trend,High_Risk_Share
Dipneusti,1,1,-2.4567357728213044,1.0
Amphibia,205,90,-0.2709452800962575,0.43902439024390244
Aves,12476,3915,0.0,0.31380250080153893
Reptilia,373,107,0.0005995803117565,0.2868632707774799
Mammalia,2957,796,0.0,0.2691917483936422
Actinopteri,4847,1074,0.0,0.22158035898493914
Elasmobranchii,397,87,-0.0308933785256301,0.21914357682619648
Petromyzonti,5,1,1.2718840099421462,0.2
Myxini,19,3,0.0033634679548525,0.15789473684210525
Holocephali,4,0,0.02064335872576885,0.0
