Class,Region,Total_Populations,High_Risk_Populations,Median_Log_Trend,High_Risk_Share
Actinopteri,Africa,184,43,-0.0144466364198122,0.23369565217391305
Actinopteri,Asia,199,80,-0.1823215567939546,0.4020100502512563
Actinopteri,Europe,446,125,0.0,0.2802690582959641
Actinopteri,International Waters,103,48,-0.395895657092014,0.46601941747572817
Actinopteri,Latin America and Caribbean,1406,192,0.0,0.13655761024182078
Actinopteri,North America,2290,522,-0.00015110645010705,0.2279475982532751
Actinopteri,Oceania,209,56,-0.063866208224488,0.2679425837320574
Amphibia,Asia,28,22,-1.2786528053530186,0.7857142857142857
Amphibia,Europe,22,8,-0.2419683617748298,0.36363636363636365
Amphibia,Latin America and Caribbean,58,27,-0.30130114767471017,0.46551724137931033
Amphibia,North America,79,23,0.0,0.2911392405063291
Aves,Africa,643,215,-0.1452581394170673,0.3343701399688958
Aves,Antarctic,180,39,0.25758439281707884,0.21666666666666667
Aves,Asia,399,133,0.0382800067151878,0.3333333333333333
Aves,Europe,2408,518,0.2182324871443325,0.21511627906976744
Aves,Latin America and Caribbean,483,135,-0.0800427076735363,0.2795031055900621
Aves,North America,2570,509,-0.00049043652779595,0.1980544747081712
Aves,Oceania,5793,2366,0.0,0.4084239599516658
Elasmobranchii,Africa,33,14,-0.3753876528708866,0.42424242424242425
Elasmobranchii,Europe,23,4,1.999800019998686e-06,0.17391304347826086
Elasmobranchii,International Waters,46,13,-0.1699538941210068,0.2826086956521739
Elasmobranchii,Latin America and Caribbean,22,4,-0.026050332864031647,0.18181818181818182
Elasmobranchii,North America,239,45,-0.0091161232447791,0.18828451882845187
Elasmobranchii,Oceania,27,6,-0.1509182219778856,0.2222222222222222
Mammalia,Africa,686,260,-0.1168738235871815,0.37900874635568516
Mammalia,Asia,275,66,0.0186921330121525,0.24
Mammalia,Europe,697,83,0.6017305101023993,0.11908177905308465
Mammalia,Latin America and Caribbean,96,34,-0.1176444739262463,0.3541666666666667
Mammalia,North America,445,103,0.0294393554506813,0.23146067415730337
Mammalia,Oceania,744,248,-0.06018749997456595,0.3333333333333333
Reptilia,Africa,27,9,-0.0888390689685323,0.3333333333333333
Reptilia,Asia,61,20,-0.0543892720926786,0.32786885245901637
Reptilia,Europe,49,14,-0.150572858479375,0.2857142857142857
Reptilia,Latin America and Caribbean,67,20,0.1713924862617644,0.29850746268656714
Reptilia,North America,83,23,0.0,0.27710843373493976
Reptilia,Oceania,86,21,0.0596437861038368,0.2441860465116279
