Lat_Bin,Lon_Bin,Analyzed_Populations,High_Risk_Records,High_Risk_Share
-45.0,145.0,400,160,0.4
-35.0,15.0,56,22,0.39285714285714285
-35.0,25.0,133,24,0.18045112781954886
-35.0,115.0,484,128,0.2644628099173554
-35.0,125.0,82,26,0.3170731707317073
-35.0,135.0,598,296,0.49498327759197325
-35.0,145.0,1509,585,0.38767395626242546
-35.0,155.0,434,164,0.3778801843317972
-25.0,-45.0,294,92,0.3129251700680272
-25.0,15.0,87,48,0.5517241379310345
-25.0,25.0,122,10,0.08196721311475409
-25.0,35.0,91,30,0.32967032967032966
-25.0,115.0,162,42,0.25925925925925924
-25.0,145.0,339,146,0.4306784660766962
-25.0,155.0,1460,616,0.42191780821917807
-15.0,15.0,106,40,0.37735849056603776
-15.0,25.0,75,22,0.29333333333333333
-15.0,35.0,50,18,0.36
-15.0,125.0,508,206,0.40551181102362205
-15.0,135.0,261,98,0.37547892720306514
-15.0,145.0,412,174,0.4223300970873786
-5.0,-75.0,69,30,0.43478260869565216
-5.0,-65.0,1130,110,0.09734513274336283
-5.0,-35.0,66,5,0.07575757575757576
-5.0,35.0,173,64,0.3699421965317919
5.0,15.0,83,35,0.42168674698795183
5.0,35.0,192,66,0.34375
15.0,-155.0,66,8,0.12121212121212122
15.0,-65.0,88,17,0.19318181818181818
15.0,15.0,50,30,0.6
25.0,-85.0,74,17,0.22972972972972974
25.0,125.0,107,49,0.45794392523364486
35.0,-125.0,153,43,0.28104575163398693
35.0,-75.0,61,19,0.3114754098360656
35.0,-5.0,304,83,0.2730263157894737
35.0,5.0,67,11,0.16417910447761194
35.0,25.0,67,12,0.1791044776119403
35.0,35.0,63,21,0.3333333333333333
35.0,125.0,51,15,0.29411764705882354
45.0,-125.0,207,40,0.1932367149758454
45.0,-115.0,73,29,0.3972602739726027
45.0,-105.0,80,9,0.1125
45.0,-85.0,104,10,0.09615384615384616
45.0,-75.0,245,76,0.31020408163265306
45.0,-65.0,1102,297,0.2695099818511797
45.0,-55.0,425,65,0.15294117647058825
45.0,-45.0,55,8,0.14545454545454545
45.0,-5.0,172,28,0.16279069767441862
45.0,5.0,542,67,0.12361623616236163
45.0,15.0,323,84,0.26006191950464397
45.0,25.0,181,52,0.287292817679558
45.0,35.0,82,36,0.43902439024390244
55.0,-175.0,50,21,0.42
55.0,-155.0,76,10,0.13157894736842105
55.0,-135.0,199,11,0.05527638190954774
55.0,-125.0,408,65,0.15931372549019607
55.0,-115.0,261,53,0.20306513409961685
55.0,-105.0,205,31,0.15121951219512195
55.0,-95.0,231,43,0.18614718614718614
55.0,-85.0,199,30,0.1507537688442211
55.0,-75.0,181,29,0.16022099447513813
55.0,-65.0,109,26,0.23853211009174313
55.0,-55.0,205,54,0.2634146341463415
55.0,-5.0,409,79,0.19315403422982885
55.0,5.0,612,120,0.19607843137254902
55.0,15.0,276,65,0.23550724637681159
55.0,25.0,170,25,0.14705882352941177
65.0,-135.0,170,30,0.17647058823529413
65.0,-125.0,94,10,0.10638297872340426
65.0,-115.0,93,27,0.2903225806451613
65.0,15.0,251,59,0.2350597609561753
65.0,25.0,171,41,0.23976608187134502
75.0,-115.0,108,41,0.37962962962962965
